Name,meets_score_diff,meets_mem_diff,meets_time_diff,alws_score_diff,alws_mem_diff,alws_time_diff
43_4_8_4_13,104.490660223305,98.2829421277013,141.621243661316,108.424219693852,93.3856029793698,126.837596374882
44_4_8_4_14,104.224161357529,98.1471075773326,130.842850070963,111.876403737571,97.1581490742562,136.63909745176
45_4_8_4_15,110.403348623435,92.302529413313,109.246456030128,117.235675789051,97.100781722949,86.5879973217613
46_4_8_4_16,108.352196177191,137.545135892061,135.270617769358,109.69080297432,218.649269899424,355.938631748179
47_4_8_4_17,114.174030867242,99.3146739531792,200.213952214367,120.106496146052,96.9765896167196,163.276324099148
48_4_8_4_18,107.672143300291,95.4248048771017,111.937483907883,111.807764808021,93.8628509299887,97.9715668239023
49_4_8_4_19,109.107466785052,102.665829280026,108.9506661555,112.90818591551,97.2620129349511,53.9938252103543
50_4_8_4_20,107.951780145437,100.577400729009,155.610402095747,110.149933275767,94.8695203380536,75.3976261461689
51_4_8_4_21,111.08061974529,102.537495640042,118.675460271229,119.122325574926,102.700267410766,139.543637444815
52_4_8_4_22,110.88832266102,86.0694565971698,83.412157007539,117.284148410945,90.6556437256736,118.791888580514
53_4_8_4_23,103.603561039154,99.2459484934173,116.87399484586,107.780380087159,99.1182462221411,95.8878335804226
54_4_8_4_24,104.904100293102,94.9409281614373,98.7933299501162,111.910995256035,103.020514272477,115.616561237252
55_4_8_4_25,101.388263640921,105.735949900993,170.383396722431,109.684337879454,102.355232867009,121.412794602913
56_4_8_4_26,108.682864833432,101.583595574053,164.926051501595,113.490399199084,99.9746218658004,139.641192932009
57_4_8_4_27,110.210610959982,98.0113068295432,105.305256891998,118.728526345423,106.435076621039,111.894317234316
58_4_8_4_28,104.712050136385,95.0679023674069,98.6020383568725,112.279226429899,97.4398972288493,90.9667661143004
59_4_8_4_29,106.952772602217,97.7009340405904,137.822714033301,115.092765879751,98.9794741697417,134.375033511638
60_4_8_8_0,108.533142294629,85.1991219818125,109.850473483444,113.992897895654,84.9890901013902,145.857522075782
61_4_8_8_1,108.452786103036,68.4691416731769,113.318001202579,109.741127798848,73.436892617627,95.9254824100055
62_4_8_8_2,112.463124579613,38.6288959649517,36.4009891375975,114.488795733196,38.5271674875061,37.7835158884375
63_4_8_8_3,114.207106815459,92.0371956441943,93.5450705431383,114.527583424963,96.9882540070966,108.968777214014
64_4_8_8_4,105.064243112174,95.9195909598121,71.699689782107,114.292931285257,94.2824309245041,79.1061023060991
65_4_8_8_5,108.349414890296,87.6418497868154,69.3005609895836,117.535116987257,92.4368645457527,69.9447012571106
66_4_8_8_6,108.031666241164,76.0470368909762,38.1838091141375,109.504164062294,64.3064568171226,22.7752725968134
67_4_8_8_7,108.990174745656,73.8900351602659,87.004629202998,110.766673666621,85.9920871528478,114.157415558895
68_4_8_8_8,113.39743623601,71.997513689023,36.808545611061,115.554769160888,77.9000486629945,66.0179198144211
69_4_8_8_9,107.801885286449,66.6153700868672,45.0555506341331,110.201851388344,69.0528665122892,59.4535773857575
70_4_8_8_10,107.554510480181,95.8662982170572,86.5064333054502,110.831776892472,101.43215858475,122.008627167237
71_4_8_8_11,110.803726271385,104.057787969083,118.82479720682,111.782868525896,58.5012241828222,63.8077413734899
72_4_8_8_12,111.069396102085,102.188796637585,91.0968089977876,113.026719410045,108.196714529787,149.522133636188
73_4_8_8_13,114.277736984969,90.3983928490181,110.454678012734,114.923621015897,93.0884108034705,104.035151254997
74_4_8_8_14,112.82645795146,117.345409918762,129.126331575943,114.069622780256,148.273966827035,193.378045327773
75_4_8_8_15,114.248752775615,95.3273219116321,83.4825733077214,119.007757303112,124.512173128945,163.490302658516
76_4_8_8_16,109.236863383472,130.345878187711,117.803903628335,110.406883035518,81.7885167156704,100.199636590942
77_4_8_8_17,106.513973503623,94.115412136448,147.514009179259,108.524737235756,94.7689034390613,128.044386792063
78_4_8_8_18,110.482079690629,95.2882036551229,62.0909382125789,119.811207207827,93.6189233948383,74.1118826641546
79_4_8_8_19,110.337105179613,84.8014057087958,94.4740132702043,111.411812033462,57.4695134798035,89.5620295547066
80_4_8_8_20,106.709958804724,92.2910435717722,98.5408604578062,107.157611985879,91.0242661997131,78.9179966430599
81_4_8_8_21,106.962253472071,103.387353684734,131.713920750282,111.721711872524,100.621063553068,95.3954340356466
82_4_8_8_22,110.391768905449,78.3732824984114,39.3603870021789,113.2365224131,89.5694657124702,114.696116988347
83_4_8_8_23,105.527067990754,66.1171088889409,55.3608297837691,107.85536159601,55.9795633201408,62.9709872255719
84_4_8_8_24,109.907189911596,156.562817388354,106.750545180139,110.273237947773,159.820898396752,155.180622510691
85_4_8_8_25,106.563118463458,57.0447212148763,109.153344736379,109.849614898168,28.3707578838844,62.6139637739959
86_4_8_8_26,103.925446655298,95.8927787144213,113.991884027473,116.620490608574,97.4115580238868,109.494101290917
87_4_8_8_27,113.722576536498,61.6903783190323,49.3984789455476,115.968666809945,65.3683529496337,61.5975302770216
88_4_8_8_28,106.080140084967,94.7356792692357,127.031908202569,107.336493864153,76.702723161816,123.747143117826
