Experiment config name,,,,,,,,2 Skills,,4 Skills,,8 Skills
64_4_8_8_4,,,,,,,,,,,,
65_4_8_8_5,,,,,,,,,,,,
66_4_8_8_6,,,,,,,,,,,,
67_4_8_8_7,,,,,,,,,,,,
68_4_8_8_8,,,,,,,,,,,,
69_4_8_8_9,,,,,,,,,,,,
70_4_8_8_10,,,,,,,,,,,,
71_4_8_8_11,,,,,,,,,,,,
72_4_8_8_12,,,,,,,,,,,,
73_4_8_8_13,,,,,,,,,,,,
74_4_8_8_14,,,,,,,,,,,,
75_4_8_8_15,,,,,,,,,,,,
76_4_8_8_16,,,,,,,,,,,,
77_4_8_8_17,,,,,,,,,,,,
78_4_8_8_18,,,,,,,,,,,,
79_4_8_8_19,,,,,,,,,,,,
80_4_8_8_20,,,,,,,,,,,,
81_4_8_8_21,,,,,,,,,,,,
82_4_8_8_22,,,,,,,,,,,,
83_4_8_8_23,,,,,,,,,,,,
84_4_8_8_24,,,,,,,,,,,,
85_4_8_8_25,,,,,,,,,,,,
86_4_8_8_26,,,,,,,,,,,,
87_4_8_8_27,,,,,,,,,,,,
88_4_8_8_28,,,,,,,,,,,,
89_4_8_8_29,,,,,,,,,,,,
