Experiment config name,,,2 Skills,,,,4 Skills,,,,8 Skills
02_4_8_2_2,1.37342454593147,0.002888819930629,-2.53927952827393,32_4_8_4_2,1.21387557454152,1.7929149418278E-05,-4.74644031343339,62_4_8_8_2,1.72348007813441,3.85607325206571E-06,-5.41385472459655
03_4_8_2_3,1.11159285328878,0.000340057392253,-3.46844777991268,33_4_8_4_3,1.42274023046698,3.86288025277647E-05,-4.41308875454337,63_4_8_8_3,1.70505355124534,8.12110267354407E-06,-5.09038499877325
03_4_8_2_3,1.15587167752942,0.000259930738533,-3.58514235926022,33_4_8_4_3,1.38270371323945,2.93996218684303E-05,-4.5316582553535,63_4_8_8_3,1.45939950471906,8.21055129417993E-06,-5.08562768137239
03_4_8_2_3,1.13972676080652,0.00037682546712,-3.42385975381977,33_4_8_4_3,1.38377914771105,4.0202667635371E-05,-4.3957451284856,63_4_8_8_3,1.61389909022284,8.53298236856501E-06,-5.06889915173556
03_4_8_2_3,1.11868991577914,0.000352576196474,-3.45274701163042,33_4_8_4_3,1.54766446334968,3.00416518273405E-05,-4.52227619151553,63_4_8_8_3,1.78944751320742,9.20800742429376E-06,-5.03583433921227
03_4_8_2_3,1.10565946502875,0.000249619280144,-3.60272187356957,33_4_8_4_3,1.42274023046698,3.93778374798266E-05,-4.40474813777551,63_4_8_8_3,1.68879455560272,8.57666657864298E-06,-5.06668147296655
04_4_8_2_4,1.17351048442622,0.000200397086265,-3.69810859731661,34_4_8_4_4,1.06935242349679,0.001725891517093,-2.76298650584472,64_4_8_8_4,1.60969635869921,0.00096574087411,-3.01513938708422
04_4_8_2_4,1.23268213015278,0.000393990672742,-3.40451405945525,34_4_8_4_4,1.33382971862094,0.00159107550909,-2.79830920916371,64_4_8_8_4,1.28625053545387,0.001135858917576,-2.94467560799415
04_4_8_2_4,1.23268213015278,0.000458045623249,-3.33909126230507,34_4_8_4_4,1.06935242349679,0.00129863163807,-2.88651402078266,64_4_8_8_4,1.55115127925515,0.001136661361177,-2.94436890283881
04_4_8_2_4,1.17351048442622,0.000288060181038,-3.54051677070523,34_4_8_4_4,1.72275440812905,0.001648207902725,-2.78298800786248,64_4_8_8_4,1.4322167883139,0.001168090402226,-2.93252354449359
04_4_8_2_4,1.17351048442622,0.000382934985586,-3.41687495396357,34_4_8_4_4,1.09557939365196,0.0012264968533,-2.91133356168203,64_4_8_8_4,1.6220094155543,0.001067249989669,-2.97173384072818
05_4_8_2_5,1.38865616129183,0.001260066709162,-2.89960646229991,35_4_8_4_5,1.25190886912589,1.52917198099968E-06,-5.81554366815282,65_4_8_8_5,1.59664153395853,5.38439313447021E-05,-4.26886323817898
