Experiment config name,,,2 Skills,,,,4 Skills,,,,8 Skills
25_4_8_2_25,1.22763937277655,4.65779429068157E-05,-4.3318196957916,55_4_8_4_25,1.34666799719822,0.001140664729408,-2.94284198710215,85_4_8_8_25,1.57884959203928,3.70591780115176E-07,-6.4311042177484
25_4_8_2_25,1.23705323610903,3.40948445546327E-05,-4.46731128525217,55_4_8_4_25,1.38710297226668,0.00065914614574,-3.1810182830513,85_4_8_8_25,1.4827227776238,3.63695233645336E-07,-6.43926239049077
25_4_8_2_25,1.23755892386382,3.36231249528007E-05,-4.47336192543883,55_4_8_4_25,1.75402807808403,0.000753366674414,-3.12299359496146,85_4_8_8_25,1.14025416104089,3.50682881815449E-07,-6.45508543319046
26_4_8_2_26,1.47068179455701,0.006736643740598,-2.17155641918781,56_4_8_4_26,1.13050395322685,0.000602509203778,-3.2200363145298,86_4_8_8_26,1.56155796105083,0.000254405483282,-3.59447353243546
26_4_8_2_26,1.60027803873005,0.001024124146991,-2.98964739386289,56_4_8_4_26,1.20288709046725,0.000585751557456,-3.23228654798325,86_4_8_8_26,1.90192008000389,0.000262602363739,-3.58070136905386
26_4_8_2_26,1.17467939768752,0.001289087418118,-2.88971763042092,56_4_8_4_26,1.28800371083026,0.000778608127133,-3.10868106741654,86_4_8_8_26,2.04688419761889,0.000267248521785,-3.57308468829814
26_4_8_2_26,1.57384583800946,0.001251461368877,-2.90258255200269,56_4_8_4_26,1.25060058406426,0.000855022994363,-3.06802220551639,86_4_8_8_26,1.6645865618971,0.000260827002534,-3.58364744957982
26_4_8_2_26,1.60027803873005,0.000907293683171,-3.04225211279009,56_4_8_4_26,1.13050395322685,0.000641769975162,-3.1926206049818,86_4_8_8_26,1.87133413735365,0.000290592632946,-3.53671540005672
27_4_8_2_27,1.23271625888152,2.98213670268216E-05,-4.52547245214401,57_4_8_4_27,1.23382457764108,0.000817290273243,-3.08762366968742,87_4_8_8_27,1.19606195639726,2.20469168781467E-05,-4.65665213528584
27_4_8_2_27,1.23271625888152,2.02474071934887E-05,-4.69363058300021,57_4_8_4_27,1.14210599828242,0.00133044979569,-2.87600150883625,87_4_8_8_27,1.21098441024042,2.69350805346215E-05,-4.56968172159605
27_4_8_2_27,1.53961248961356,2.23877088988355E-05,-4.64999034873919,57_4_8_4_27,1.16736172188945,0.001034264582996,-2.98536834689355,87_4_8_8_27,1.61799704357306,3.72840550392115E-05,-4.42847685958571
27_4_8_2_27,1.226169828241,1.60739464188198E-05,-4.79387748369072,57_4_8_4_27,1.17803694741859,0.000855917812332,-3.06756793551495,87_4_8_8_27,1.60200391029174,4.19862559478857E-05,-4.37689285109842
27_4_8_2_27,1.54486477910189,1.91020013940839E-05,-4.7189211275758,57_4_8_4_27,1.16736172188945,0.000976201035316,-3.01046073608565,87_4_8_8_27,1.35290465860859,2.58163522581698E-05,-4.58810512171572
28_4_8_2_28,1.2140266879941,9.49147997495193E-05,-4.02266606419633,58_4_8_4_28,1.26026062249264,0.000745809805903,-3.12737191083577,88_4_8_8_28,1.4917914715776,8.91044568949973E-07,-6.05010057254568
28_4_8_2_28,1.2084126570267,6.49368142402233E-05,-4.18750902140496,58_4_8_4_28,1.23354028162256,0.000737324754159,-3.13234118531014,88_4_8_8_28,1.30143899787213,8.10260836497573E-07,-6.09137515196545
28_4_8_2_28,1.10502142906837,7.42851878987329E-05,-4.12909777379176,58_4_8_4_28,1.23354028162256,0.000822087796842,-3.08508179845995,88_4_8_8_28,1.43464160033525,8.05312832884864E-07,-6.09403538024859
28_4_8_2_28,1.27481930964235,7.98793439051173E-05,-4.09756551089644,58_4_8_4_28,1.23354028162256,0.000758843545181,-3.11984775568397,88_4_8_8_28,1.50334899419272,8.71757452826963E-07,-6.05960433106665
28_4_8_2_28,1.2140266879941,8.25463252569983E-05,-4.08330225560689,58_4_8_4_28,1.23354028162256,0.001195692497876,-2.92238049563741,88_4_8_8_28,1.42995409595729,8.89125955304229E-07,-6.05103671167452
29_4_8_2_29,1.31421188983328,0.000165675740397,-3.78074107988986,59_4_8_4_29,1.50054951417301,0.000161658234962,-3.79140216728188,89_4_8_8_29,1.47972016067376,3.43440388622567E-05,-4.46414863309914
29_4_8_2_29,1.31421188983328,0.000148572213131,-3.82806240734637,59_4_8_4_29,1.15006537575328,0.000148373568674,-3.82864345755806,89_4_8_8_29,1.76084006152634,3.69104172236215E-05,-4.43285104564985
29_4_8_2_29,1.48840265235344,0.000155874842751,-3.80722397163748,59_4_8_4_29,1.73722164560459,0.00016218865721,-3.7899795217867,89_4_8_8_29,1.61885718638425,3.38945601661985E-05,-4.46986999735366
29_4_8_2_29,1.3539279921864,0.000174643882035,-3.75784662356708,59_4_8_4_29,1.08616579177354,0.000166697246313,-3.77807157426311,89_4_8_8_29,1.53603469369062,3.33049214466382E-05,-4.47749158633776
29_4_8_2_29,1.36415286584329,0.000126899204174,-3.89654110149973,59_4_8_4_29,1.10180507497396,0.000152737497164,-3.81605433025004,89_4_8_8_29,1.58229842631621,3.25219585567303E-05,-4.48782330794982
