Experiment config name,Optimal score,Optimal run time,,,,,mean score,median score,mean run time,median run time
11_4_8_2_11,325.859,1.74505305290222,607.425858043517,630.977886382948,0.002865409851074,0.002695083618164,186.407574455061,193.635249105579,0.164201876058079,0.154441357165723
12_4_8_2_12,603.586,5.90366291999817,814.064133418024,806.024234648694,0.002638053894043,0.002419471740723,134.871274916586,133.539252840307,0.044685035880128,0.040982552247807
13_4_8_2_13,688.57,19.3048319816589,824.297753510821,857.785308407398,0.002734470367432,0.002535104751587,119.711540367838,124.574888305822,0.01416469394828,0.013131970037323
14_4_8_2_14,588.793,11.360652923584,663.516291376081,644.037343058411,0.002890586853027,0.002832412719727,112.690927265793,109.382642636446,0.025443844402875,0.024931777590412
15_4_8_2_15,478.398,1.65183901786804,711.542998011198,639.578313387251,0.002954769134521,0.002480983734131,148.734526066413,133.691677930771,0.178877548148432,0.150195249494286
16_4_8_2_16,897.861,16.999330997467,1095.50576284796,1076.69234522198,0.003348827362061,0.003287553787231,122.012846403615,119.917486695823,0.01969975972913,0.019339312751315
17_4_8_2_17,393.027,0.299740791320801,530.038692184059,582.188167630099,0.002743864059448,0.002435922622681,134.86063099585,148.12930603498,0.915412295856519,0.812676383466803
18_4_8_2_18,361.088,11.8951468467712,549.154351928957,563.792659132182,0.003151941299438,0.00328254699707,152.08324616962,156.137190693732,0.026497708183351,0.027595682839017
19_4_8_2_19,1122.346,3.23677682876587,1177.90387357185,1188.67233918826,0.004479694366455,0.004405498504639,104.950155617951,105.909616035363,0.138399852799339,0.136107576694388
20_4_8_2_20,622.384,0.868477821350098,698.680054626408,715.541233250172,0.003098917007446,0.002948522567749,112.258678665648,114.967806571212,0.356821663290013,0.339504647702503
21_4_8_2_21,480.698,8.26439905166626,607.484268123905,582.041069560175,0.003016710281372,0.00298285484314,126.375451556675,121.082482049057,0.03650247601202,0.03609282204903
22_4_8_2_22,668.21,6.25700378417969,743.629847098986,747.721102875013,0.003522205352783,0.003644704818726,111.286848011701,111.899118970834,0.056292204292553,0.058250001829005
23_4_8_2_23,495.97,9.14330792427063,758.427624016805,784.046013943818,0.002973937988281,0.002849102020264,152.918044239935,158.083354627058,0.032525843085597,0.031160517001739
24_4_8_2_24,788.167,2.70288491249084,861.499713858847,878.19631925092,0.004516744613647,0.004462718963623,109.304210130448,111.422619730453,0.167108284661853,0.165109470366255
25_4_8_2_25,749.615,32.9644141197205,931.093338199413,942.773089274811,0.003776741027832,0.003873825073242,124.209539323441,125.767639291478,0.011457024578431,0.011751536245034
26_4_8_2_26,378.962,0.340395212173462,518.836885846811,574.672225968837,0.003308820724487,0.003478765487671,136.910003073345,151.643760052152,0.972052662950254,1.02197838373184
27_4_8_2_27,805.366,98.0646178722382,960.308106673144,962.041224052898,0.003088331222534,0.002964973449707,119.238719622277,119.453915865942,0.003149281860821,0.003023489525621
28_4_8_2_28,974.177,23.6365239620209,1083.00190729281,1092.66726319083,0.003838300704956,0.003414392471313,111.170958387727,112.163114422823,0.01623885437268,0.014445408626073
29_4_8_2_29,535.113,8.39164710044861,779.572360058956,825.711989699104,0.003261661529541,0.002918004989624,145.683689250487,154.306097908125,0.038867953936798,0.034772732393239
30_4_8_4_0,661.583,28.9037408828735,838.031293721061,818.243621579921,0.003422784805298,0.003807544708252,126.670620877662,123.679662503408,0.011842013181505,0.013173190016065
31_4_8_4_1,545.724,18.7794969081879,769.744062570481,815.742989757068,0.003154373168945,0.003345727920532,141.050066071949,149.47903881029,0.016796899216028,0.017815854902234
32_4_8_4_2,795.096,111.140444993973,965.274610476079,944.449978102255,0.003475093841553,0.003644227981567,121.403529948092,118.784395607858,0.003126758977563,0.003278939527159
33_4_8_4_3,839.503,40.877748966217,1137.8607601059,1095.1215756232,0.003327465057373,0.002912282943726,135.539808685126,130.44879835131,0.008140039854257,0.007124372103103
34_4_8_4_4,423.041,0.846318006515503,532.10947502867,470.328917843953,0.00314679145813,0.003116130828857,125.782010497486,111.178093339405,0.371821399746177,0.36819857368831
