Experiment config name,2 Skills,,,,4 Skills,,,,8 Skills,,
11_4_8_2_11,1.56499772012408,0.002278165254632,-2.64241477605511,41_4_8_4_11,1.24023781155579,0.000147159979865,-3.83221028026276,71_4_8_8_11,1.35498940347956,2.42868922041837E-06,-5.61462805476775
12_4_8_2_12,1.06901783120119,0.001377981234433,-2.86075669667926,42_4_8_4_12,1.4403717486623,0.001699673252155,-2.7696345600483,72_4_8_8_12,1.25365764036704,1.11935522524652E-06,-5.95103206907238
13_4_8_2_13,1.23647060697724,0.001492432563341,-2.82610528366965,43_4_8_4_13,1.60376902230716,1.44966917889734E-05,-4.83873109443512,73_4_8_8_13,1.09691077130464,8.82701711290052E-07,-6.05418603144698
14_4_8_2_14,1.01918971612158,0.000560440406191,-3.25147056083597,44_4_8_4_14,1.29458627221248,0.000120193275804,-3.9201198281977,74_4_8_8_14,1.18449184242026,4.42769709147979E-06,-5.3538220978201
15_4_8_2_15,1.095578451525,0.004599383302973,-2.33730039572507,45_4_8_4_15,1.23929628214595,8.16224924684167E-05,-4.08819014750992,75_4_8_8_15,1.37213504233769,0.000336599782858,-3.47288616852538
16_4_8_2_16,1.3079309578772,4.38326070201667E-05,-4.35820269816188,46_4_8_4_16,1.19466880602637,6.91204542033395E-07,-6.1603934166901,76_4_8_8_16,1.3501840370513,9.06145111850557E-07,-6.04280224798598
17_4_8_2_17,1.04822506824605,0.000855494939946,-3.06778255486634,47_4_8_4_17,1.18017326595253,0.000183317278993,-3.73679659768023,77_4_8_8_17,1.24245712481346,8.37533185610776E-06,-5.07699797588263
18_4_8_2_18,1.18779690636265,7.01870848480027E-05,-4.15374279521021,48_4_8_4_18,1.57717463986228,3.46011584369375E-05,-4.46090936090816,78_4_8_8_18,1.71979216692408,0.000330334389217,-3.48104621204957
19_4_8_2_19,1.01542620499112,0.000285590573669,-3.54425613117842,49_4_8_4_19,1.04301625805515,7.28670351354723E-05,-4.13746890099119,79_4_8_8_19,1.43109370887126,1.45481481421032E-06,-5.83719228522453
20_4_8_2_20,1.19691528505284,0.000272690641332,-3.56432976667008,50_4_8_4_20,1.18193888826592,0.000658656155792,-3.1813412449103,80_4_8_8_20,1.21032036899425,9.26770659332541E-07,-6.0330277240099
21_4_8_2_21,1.01926820574625,0.000205124015547,-3.68798349024613,51_4_8_4_21,1.30601840516559,0.000111813984154,-3.95150387747713,81_4_8_8_21,1.47735510228037,0.000183684186127,-3.73592823168227
22_4_8_2_22,1.0915434888913,0.000142444995608,-3.84635280383418,52_4_8_4_22,1.63628757126359,2.36058589380386E-05,-4.62698019242554,82_4_8_8_22,1.16675499519089,2.29941166088234E-05,-4.63838327055539
23_4_8_2_23,1.1673547542823,7.1050169680037E-05,-4.14843488056528,53_4_8_4_23,1.07556304005833,0.000385091156449,-3.41443645475951,83_4_8_8_23,1.39834830354845,7.4263556620823E-06,-5.12922425543561
24_4_8_2_24,0.999837957722336,0.000307819375642,-3.51170404704656,54_4_8_4_24,1.15037379941923,4.75155953602764E-05,-4.32316382474795,84_4_8_8_24,1.22022147998508,6.38661061594457E-07,-6.19472956145304
25_4_8_2_25,1.17427194054616,1.94802724460238E-05,-4.71040497348526,55_4_8_4_25,1.27144642116428,0.000365591553452,-3.43700384666786,85_4_8_8_25,1.40926657803474,2.61635020792924E-07,-6.58230412457116
26_4_8_2_26,1.17467939768752,0.000666360493913,-3.17629075857632,56_4_8_4_26,1.21299346718485,0.000436752142154,-3.35976495623998,86_4_8_8_26,1.86357872069328,0.000184977528082,-3.73288102847683
27_4_8_2_27,1.52350403639016,1.20918117799089E-05,-4.91750862163176,57_4_8_4_27,1.14210599828242,0.000577090544418,-3.23875604151308,87_4_8_8_27,1.29088512139838,0.000152890896589,-3.81561837252661
28_4_8_2_28,1.1195031959245,4.20398036094405E-05,-4.37633932146243,58_4_8_4_28,1.23354028162256,0.00040369601856,-3.393945533785,88_4_8_8_28,1.19738522054952,6.70908898017183E-07,-6.17333644819845
29_4_8_2_29,1.43380823662648,0.000102364930979,-3.98984880206005,59_4_8_4_29,1.17401205752031,0.000107072963679,-3.97032017629523,89_4_8_8_29,1.26129234709569,2.50306469557596E-05,-4.60152792523455
