Experiment config name,,,,,,,,2 Skills,,4 Skills,,8 Skills
21_4_8_2_21,1.21082482049057,0.000379651137531,1.70465551018439,0.00034889462855,1.58134153966067,0.000419095091072,,-3.42061529452781,0.231636626646908,-3.45730571673433,0.199025679401361,-3.37768742609727
21_4_8_2_21,1.01539470626894,0.00036092822049,1.5164045090309,0.00036433872437,1.36511432808615,0.000568269944373,,-3.44257915971403,0.180815067131558,-3.43849466656643,0.135169024986817,-3.24544531305281
22_4_8_2_22,1.08837764175166,0.000656879558795,1.26119824441856,6.07376499825415E-05,1.18694569592116,9.59239170619036E-05,,-3.18251425257989,0.100783357540613,-4.21654201550235,0.074430849956046,-4.01807309509232
22_4_8_2_22,1.11899118970834,0.000471349854533,1.53440931784353,7.81188705431663E-05,1.03681671243706,8.22850924987848E-05,,-3.32665662261359,0.185941227128297,-4.10724404444737,0.015701988970864,-4.08467883832294
22_4_8_2_22,1.11899118970834,0.000646019841047,1.50320663535256,6.56116920668674E-05,1.13071449026144,9.11099013717232E-05,,-3.18975414342148,0.177018684129884,-4.18301876203194,0.053352957748344,-4.04043442349422
22_4_8_2_22,1.11899118970834,0.000457860941962,1.50689856164227,7.29227551933563E-05,1.10990290109779,6.23694297981933E-05,,-3.33926640258251,0.178084018338683,-4.13713693103919,0.045284986568678,-4.20502822639348
22_4_8_2_22,1.11899118970834,0.00058250001829,1.37485737770369,6.26754574632041E-05,1.20893464287942,6.407694254576E-05,,-3.23470405666547,0.13825764850164,-4.20290248747712,0.082402822776357,-4.19329821894604
23_4_8_2_23,1.58083354627058,0.000390901514957,1.13133667343445,0.001189762231866,1.43498138600701,1.45363635529389E-05,,-3.40793264643603,0.053591865452928,-2.92453982155371,0.156846267615745,-4.83754422390442
23_4_8_2_23,1.34614936427605,0.000270457642127,1.04272287464134,0.000887615398272,1.38971965332608,9.37853919355754E-06,,-3.56790074250184,0.018168900942408,-3.05177517227311,0.142927199323713,-5.02786480230146
23_4_8_2_23,1.472088159814,0.000311605170017,1.13967022594034,0.001530661996151,1.45454277563178,9.97819003713538E-06,,-3.50639534531517,0.056779202412559,-2.81512070049238,0.162726497633733,-5.00094822907059
23_4_8_2_23,1.62341557081806,0.000394004528783,1.13133667343445,0.000830667494026,1.48455358212934,1.39582174292686E-05,,-3.40449878626031,0.053591865452928,-3.08057278416743,0.171595877245735,-4.85517004088644
23_4_8_2_23,1.62341557081806,0.000259323298395,1.63759423437738,0.001093194969618,1.36451142476514,1.00360873599636E-05,,-3.58615846313871,0.214206300598211,-2.96130237539885,0.134977176276846,-4.99843556698826
24_4_8_2_24,1.11422619730453,0.001834657481647,1.23129781875474,0.00019352784833,1.22909021279049,2.97832338478508E-06,,-2.7364450037364,0.090363110119311,-3.71325653190694,0.089583760412283,-5.5260281485574
24_4_8_2_24,1.00830571730427,0.001706401701162,1.15720246013666,0.000206748578874,1.22459287960948,2.0762105867423E-06,,-2.76791872459748,0.063409348258559,-3.68455746697155,0.087991729903485,-5.68272859878994
