Experiment config name,with,without,2 Skills,4 Skills,8 Skills
63_4_8_8_3,247.249686956406,176.941972017288,,,
64_4_8_8_4,2.00769686698914,1.36576795578003,,,
65_4_8_8_5,40.5426750183105,15.4556529521942,,,
66_4_8_8_6,40.3638441562653,48.591500043869,,,
67_4_8_8_7,2335.38325595856,969.523649930954,,,
68_4_8_8_8,405.251371145248,277.323369979858,,,
69_4_8_8_9,1180.6003241539,891.943684101105,,,
70_4_8_8_10,16.4877300262451,7.8701810836792,,,
71_4_8_8_11,813.933027982712,791.376430988312,,,
72_4_8_8_12,711.964063882828,598.916716098785,,,
73_4_8_8_13,1413.59211611748,1585.92597007751,,,
74_4_8_8_14,237.486701011658,196.643044948578,,,
75_4_8_8_15,4.962327003479,1.29737114906311,,,
76_4_8_8_16,2960.20414710045,867.481714010239,,,
77_4_8_8_17,226.407007932663,20.9182741641998,,,
78_4_8_8_18,4.08033990859985,4.71605086326599,,,
79_4_8_8_19,1661.9359459877,676.264758825302,,,
80_4_8_8_20,1561.49682998657,836.923989057541,,,
81_4_8_8_21,8.69584608078003,7.39086389541626,,,
82_4_8_8_22,73.394063949585,21.2550640106201,,,
83_4_8_8_23,156.253884077072,79.6979830265045,,,
84_4_8_8_24,2093.31445288658,850.446775197983,,,
85_4_8_8_25,3736.56036496162,7995.40216302872,,,
86_4_8_8_26,4.48267483711243,4.62531805038452,,,
87_4_8_8_27,62.6428837776184,67.6158730983734,,,
88_4_8_8_28,1975.43254804611,466.11585187912,,,
89_4_8_8_29,51.8131339550018,20.6822490692139,,,
