Experiment config name,Greedy,Optimal,Ratio,Log,2 Skills,4 Skills,8 Skills
38_4_8_4_8,0.000997066497803,0.119219064712524,0.008363314208237,-2.07762158654175,,,
39_4_8_4_9,0.00105357170105,0.017816781997681,0.059133669659714,-1.22816516914038,,,
40_4_8_4_10,0.001176118850708,0.338690996170044,0.003472542417743,-2.45935244057118,,,
41_4_8_4_11,0.00128436088562,0.360249042510986,0.003565202773803,-2.44791576425832,,,
42_4_8_4_12,0.00100302696228,0.164974927902222,0.006079875136387,-2.21610533982839,,,
43_4_8_4_13,0.001194953918457,0.267641067504883,0.00446476293641,-2.35020159570987,,,
44_4_8_4_14,0.001153945922852,0.165225028991699,0.006984086671941,-2.15589037971025,,,
45_4_8_4_15,0.00113844871521,0.248728036880493,0.004577082380773,-2.33941127083833,,,
46_4_8_4_16,0.001226425170898,0.155990839004517,0.007862161513616,-2.10445803864468,,,
47_4_8_4_17,0.001100540161133,0.21906304359436,0.005023851321864,-2.2989632217887,,,
48_4_8_4_18,0.001161336898804,0.18538498878479,0.006264460280288,-2.20311634005525,,,
49_4_8_4_19,0.001270055770874,0.289856910705566,0.004381664621287,-2.35836086700779,,,
50_4_8_4_20,0.001141548156738,0.219917058944702,0.005190812219006,-2.28476468172116,,,
51_4_8_4_21,0.001137733459473,0.122258901596069,0.009305935556594,-2.03123995927239,,,
52_4_8_4_22,0.001247644424438,0.225687980651855,0.005528182851539,-2.25741760056494,,,
53_4_8_4_23,0.001063823699951,0.124403953552246,0.008551365688746,-2.06796452109374,,,
54_4_8_4_24,0.001225709915161,0.213227987289429,0.005748353819507,-2.24045650826043,,,
55_4_8_4_25,0.000996589660645,0.378649950027466,0.00263195508298,-2.57972152667673,,,
56_4_8_4_26,0.001100301742554,0.252860069274902,0.004351425457207,-2.36136845182931,,,
57_4_8_4_27,0.001071929931641,0.170283079147339,0.006294987951877,-2.20100509676158,,,
58_4_8_4_28,0.001169443130493,0.108675003051758,0.010760921073414,-1.9681505539502,,,
59_4_8_4_29,0.001268863677979,0.253346920013428,0.005008403804206,-2.30030066325042,,,
60_4_8_8_0,0.00126314163208,0.295940160751343,0.004268233243076,-2.36975185602056,,,
61_4_8_8_1,0.001300096511841,0.320425033569336,0.004057412422989,-2.39175084540757,,,
62_4_8_8_2,0.001253843307495,0.303010940551758,0.004137947313757,-2.38321504327165,,,
63_4_8_8_3,0.001397132873535,0.381520986557007,0.003662007917686,-2.43628072103829,,,
64_4_8_8_4,0.001347780227661,0.076566934585571,0.017602640551774,-1.75442217928545,,,
65_4_8_8_5,0.001241683959961,0.197038173675537,0.006301743143467,-2.20053930247088,,,
66_4_8_8_6,0.001374006271362,0.179723978042603,0.007645091580581,-2.11661730780527,,,
67_4_8_8_7,0.001293182373047,0.435083866119385,0.002972260002609,-2.52691320273136,,,
68_4_8_8_8,0.001291513442993,0.293414115905762,0.00440167453773,-2.35638207257171,,,
69_4_8_8_9,0.001343965530396,0.323472023010254,0.004154812270591,-2.38144859442816,,,
70_4_8_8_10,0.001213312149048,0.090006828308106,0.013480223354773,-1.87030291188513,,,
71_4_8_8_11,0.001369476318359,0.257670879364014,0.005314827665971,-2.27451081297156,,,
72_4_8_8_12,0.001301288604736,0.297730922698975,0.004370686769583,-2.35945031662092,,,
73_4_8_8_13,0.001349925994873,0.463397979736328,0.002913102891905,-2.53564417565466,,,
74_4_8_8_14,0.00122857093811,0.216599225997925,0.00567209292854,-2.24625666251797,,,
75_4_8_8_15,0.001206398010254,0.236608028411865,0.005098719677229,-2.29253886447478,,,
76_4_8_8_16,0.001284122467041,0.146969079971314,0.008737364806881,-2.05861953102651,,,
77_4_8_8_17,0.00135350227356,0.235458850860596,0.005748360142815,-2.24045603052782,,,
78_4_8_8_18,0.00123119354248,0.268143892288208,0.004591540504516,-2.33804158017844,,,
79_4_8_8_19,0.001310110092163,0.322039842605591,0.004068161509343,-2.39060181356047,,,
80_4_8_8_20,0.001347541809082,0.33743691444397,0.003993462930108,-2.39865034261358,,,
81_4_8_8_21,0.001202583312988,0.245477199554443,0.004898961350263,-2.30989598684164,,,
82_4_8_8_22,0.001147270202637,0.287225008010864,0.003994325600623,-2.39855653616277,,,
83_4_8_8_23,0.001282215118408,0.257992029190063,0.004969979585933,-2.30364539511675,,,
84_4_8_8_24,0.0013587474823,0.147799968719482,0.009193151352277,-2.03653558977804,,,
85_4_8_8_25,0.001466512680054,0.332719802856445,0.004407650724315,-2.35579282761199,,,
86_4_8_8_26,0.001210689544678,0.226890087127686,0.005336017804941,-2.27278272995829,,,
87_4_8_8_27,0.001511335372925,0.235192060470581,0.006425962551206,-2.19206180972939,,,
88_4_8_8_28,0.001619338989258,0.305132150650024,0.005307008736406,-2.27515019743379,,,
89_4_8_8_29,0.001147985458374,0.248052835464478,0.004627987647166,-2.33460780891972,,,
