Experiment config name,greedy score,optimal score,,2 Skills,4 Skills,8 Skills
27_4_8_2_27,1394.77099232326,1110.961,1.25546350621062,1.25546350621062,0.92840694567741,0.836286423885616
28_4_8_2_28,1323.57519450318,1415.825,0.934843779777289,0.934843779777289,1.13076113050651,0.841095702130291
29_4_8_2_29,904.087783604827,1312.135,0.689020400800853,0.689020400800853,0.799236494444145,0.508301085943374
30_4_8_4_0,953.656183023489,1092.791,0.872679389767567,,,
31_4_8_4_1,658.601778338232,1329.925,0.495217232805032,,,
32_4_8_4_2,1149.01546646753,1131.126,1.01581562661236,,,
33_4_8_4_3,1281.6450017152,1523.116,0.841462502997277,,,
34_4_8_4_4,546.460475455328,1091.865,0.500483553786712,,,
35_4_8_4_5,715.101399582713,890.6,0.802943408469249,,,
36_4_8_4_6,1217.31110265052,1156.574,1.05251467061383,,,
37_4_8_4_7,1306.01502344347,1171.345,1.11497041729249,,,
38_4_8_4_8,870.333491260202,1105.727,0.78711426171216,,,
39_4_8_4_9,1285.5438276619,1572.633,0.817446809053288,,,
40_4_8_4_10,997.682503914323,1169.337,0.853203570839136,,,
41_4_8_4_11,964.976951183478,1208.962,0.798186337687601,,,
42_4_8_4_12,1059.69733958009,1453.745,0.728943067443114,,,
43_4_8_4_13,1047.81767941732,987.166,1.0614402029824,,,
44_4_8_4_14,1247.15392578489,1233.1,1.01139723119365,,,
45_4_8_4_15,1274.56293644698,1806.499,0.705543117625296,,,
46_4_8_4_16,966.820376672216,1203.197,0.803542875083811,,,
47_4_8_4_17,954.061509582152,1384.001,0.689350303635729,,,
48_4_8_4_18,1779.29903300847,1753.467,1.01473197557095,,,
49_4_8_4_19,801.115755421965,978.075,0.81907395181552,,,
50_4_8_4_20,729.738525126484,942.621,0.77415899404584,,,
51_4_8_4_21,782.918853344614,984.408,0.79531947459246,,,
52_4_8_4_22,1497.30948639832,1420.976,1.05371905394484,,,
53_4_8_4_23,515.258154407301,623.623,0.826233404488451,,,
54_4_8_4_24,1028.24091388249,1356.577,0.75796723214568,,,
55_4_8_4_25,1090.43695141523,2089.524,0.521859022157788,,,
56_4_8_4_26,1148.17230929196,1125.382,1.02025117630454,,,
57_4_8_4_27,871.828898000883,939.059,0.92840694567741,,,
58_4_8_4_28,1230.29977130274,1088.028,1.13076113050651,,,
59_4_8_4_29,651.233880402978,814.82,0.799236494444145,,,
60_4_8_8_0,1690.94882269428,1491.319,1.13386124812618,,,
61_4_8_8_1,1407.86559772212,1352.619,1.0408441680341,,,
62_4_8_8_2,1156.75573003079,1444.563,0.80076516568041,,,
63_4_8_8_3,1087.00609480763,897.18,1.211580836407,,,
64_4_8_8_4,1216.11295417235,1339.963,0.907572040550635,,,
65_4_8_8_5,1550.56713425672,1469.84,1.05492239580956,,,
66_4_8_8_6,1818.05891912225,1291.411,1.40780814095764,,,
67_4_8_8_7,1567.86033711712,1475.872,1.06232812677327,,,
68_4_8_8_8,1052.01003726593,1233.324,0.852987566337742,,,
69_4_8_8_9,1791.16976645571,1598.417,1.12058978755588,,,
70_4_8_8_10,1466.05792388974,1360.582,1.07752265125493,,,
71_4_8_8_11,1292.59891639635,1359.145,0.951038275089376,,,
72_4_8_8_12,1371.92268752871,1267.847,1.08208852292801,,,
73_4_8_8_13,1103.91454657942,1405.016,0.785695356194819,,,
74_4_8_8_14,876.443417945709,1287.942,0.680499135788498,,,
75_4_8_8_15,1415.64270026013,1277.173,1.10841890664783,,,
76_4_8_8_16,1113.5440317975,1290.387,0.862953541687494,,,
77_4_8_8_17,1400.76976920007,1266.363,1.10613605198515,,,
78_4_8_8_18,1318.2052178178,921.73,1.43014246885509,,,
79_4_8_8_19,1391.14759017554,1414.51,0.983483743611243,,,
80_4_8_8_20,1206.11329539162,1271.292,0.94873034314038,,,
81_4_8_8_21,947.773528186335,897.174,1.056398790186,,,
82_4_8_8_22,1097.7764398752,1356.471,0.809288543489098,,,
83_4_8_8_23,1290.61255850156,1219.184,1.05858718495449,,,
84_4_8_8_24,1300.92204778537,1494.834,0.87027860470485,,,
85_4_8_8_25,1473.69824598249,1573.84,0.936371070745749,,,
86_4_8_8_26,1052.7058020601,833.345,1.26322927726224,,,
87_4_8_8_27,1135.38509967473,1357.651,0.836286423885616,,,
88_4_8_8_28,1351.97723160423,1607.4,0.841095702130291,,,
89_4_8_8_29,985.186623270017,1938.195,0.508301085943374,,,
