Experiment config name,Greedy,Optimal,Ratio,Log,2 Skills,4 Skills,8 Skills
79_4_8_8_19,0.001310110092163,875.296029806137,1.49676229247055E-06,-5.82484716643419,,,
80_4_8_8_20,0.001347541809082,1493.37901210785,9.02344145830732E-07,-6.04462779490798,,,
81_4_8_8_21,0.001202583312988,6.40813207626343,0.000187665188338,-3.72661628100025,,,
82_4_8_8_22,0.001147270202637,51.4079029560089,2.23170006296259E-05,-4.65136417431928,,,
83_4_8_8_23,0.001282215118408,181.518191099167,7.06383812357132E-06,-5.1509592617019,,,
84_4_8_8_24,0.0013587474823,2108.4550409317,6.44428008149316E-07,-6.1908255925229,,,
85_4_8_8_25,0.001466512680054,5496.74452900887,2.66796587018831E-07,-6.57381973040905,,,
86_4_8_8_26,0.001210689544678,6.31177091598511,0.000191814557403,-3.71711843595667,,,
87_4_8_8_27,0.001511335372925,80.7708568572998,1.87113945763274E-05,-4.72789384295253,,,
88_4_8_8_28,0.001619338989258,2361.05534482002,6.85853888520957E-07,-6.16376839474186,,,
89_4_8_8_29,0.001147985458374,49.3303198814392,2.32713970055956E-05,-4.6331775447919,,,
