Experiment config name,median score,runtime,,,,,128 Tasks,256 Tasks,512 Tasks,1024 Tasks
109_32_1024_64_19,4538.98859877859,57.4820652008057,,,,,,,,
110_32_1024_64_20,4228.18387384914,58.5873162746429,,,,,,,,
111_32_1024_64_21,4527.33057950388,59.1354384422302,,,,,,,,
112_32_1024_64_22,4662.32780311776,57.8890595436096,,,,,,,,
113_32_1024_64_23,3840.71495607164,58.0298843383789,,,,,,,,
114_32_1024_64_24,4509.61651414688,62.3696978092194,,,,,,,,
115_32_1024_64_25,4423.51600696695,60.4648513793945,,,,,,,,
116_32_1024_64_26,4697.02374064564,57.7840313911438,,,,,,,,
117_32_1024_64_27,4324.48007425917,57.5194916725159,,,,,,,,
118_32_1024_64_28,4208.07876756844,57.9081907272339,,,,,,,,
119_32_1024_64_29,4451.81783167286,58.2414824962616,,,,,,,,
