Experiment,config,name,score,memory,used,run,time
34_4_8_4_4,1660.893,176975872,0.299072027206421,,,,
35_4_8_4_5,2445.086,293974016,23.6951248645782,,,,
36_4_8_4_6,2449.877,253681664,3.74747395515442,,,,
37_4_8_4_7,2157.859,254967808,3.12686800956726,,,,
38_4_8_4_8,1527.852,182194176,0.371728897094727,,,,
39_4_8_4_9,2449.872,190255104,0.643837928771973,,,,
40_4_8_4_10,2736.529,239357952,2.3879120349884,,,,
41_4_8_4_11,2624.023,293769216,17.963191986084,,,,
42_4_8_4_12,2204.965,166637568,0.345072031021118,,,,
43_4_8_4_13,1415.416,435175424,44.7435250282288,,,,
44_4_8_4_14,2044.645,290508800,14.5925118923187,,,,
45_4_8_4_15,3044.482,241176576,2.47062301635742,,,,
46_4_8_4_16,2622.037,398020608,53.444983959198,,,,
47_4_8_4_17,2595.931,217223168,2.09459090232849,,,,
48_4_8_4_18,2174.751,331710464,20.4710609912872,,,,
49_4_8_4_19,2282.249,332705792,16.4348859786987,,,,
50_4_8_4_20,1897.836,177053696,0.362767934799194,,,,
51_4_8_4_21,1894.548,188915712,0.688563108444214,,,,
52_4_8_4_22,2785.565,307605504,9.05720710754395,,,,
53_4_8_4_23,1339.708,168615936,0.214982986450195,,,,
54_4_8_4_24,2470.203,231116800,1.95268392562866,,,,
55_4_8_4_25,1625.55,177094656,0.496346950531006,,,,
56_4_8_4_26,1795.684,194797568,0.904942035675049,,,,
57_4_8_4_27,1582.428,207216640,1.57944297790527,,,,
58_4_8_4_28,2593.237,176672768,0.370137929916382,,,,
59_4_8_4_29,1847.737,166514688,0.245464086532593,,,,
60_4_8_8_0,3407.805,255885312,10.0496778488159,,,,
61_4_8_8_1,3354.115,349106176,25.7647750377655,,,,
62_4_8_8_2,2588.387,449908736,51.9742169380188,,,,
63_4_8_8_3,2615.16,504475648,57.7673940658569,,,,
64_4_8_8_4,2634.023,248709120,1.92776298522949,,,,
