Experiment config name,Unguided,Guided,Relative Performance,Log Relative Performance,2 Skills,4 Skills,8 Skills
56_4_8_4_26,3.55690693855286,0.904942035675049,0.25441824914408,-0.594451740435876,,,
57_4_8_4_27,3.23593616485596,1.57944297790527,0.488094603057653,-0.311495994382484,,,
58_4_8_4_28,2.68665504455566,0.370137929916382,0.137769056234608,-0.860848316649392,,,
59_4_8_4_29,14.7362139225006,0.245464086532593,0.016657201627468,-1.7783979573007,,,
60_4_8_8_0,86.9488170146942,10.0496778488159,0.115581536286084,-0.937111537278058,,,
61_4_8_8_1,2453.80311512947,25.7647750377655,0.010499935744195,-1.9788133586469,,,
62_4_8_8_2,1225.30288100243,51.9742169380188,0.042417444489724,-1.37245549983273,,,
63_4_8_8_3,258.038480043411,57.7673940658569,0.223871238336772,-0.650001698444119,,,
64_4_8_8_4,2.44010901451111,1.92776298522949,0.790031500135961,-0.102355592174758,,,
65_4_8_8_5,49.4579470157623,1.4800500869751,0.029925425058655,-1.52395967218915,,,
66_4_8_8_6,269.519995212555,79.7311880588532,0.295826615743198,-0.528962754779971,,,
67_4_8_8_7,2343.01505613327,262.217000961304,0.111914347402465,-0.951114233415382,,,
68_4_8_8_8,929.251620054245,4.19637203216553,0.004515861949125,-2.34525934302026,,,
69_4_8_8_9,823.091774940491,119.585222005844,0.145287835022395,-0.837770747737912,,,
70_4_8_8_10,9.55111885070801,6.58639097213745,0.689593656522159,-0.161406742180579,,,
71_4_8_8_11,1467.27142310143,1412.613904953,0.962748870258176,-0.01648698232967,,,
72_4_8_8_12,1697.30331897736,1238.7549290657,0.729837098187063,-0.136774064884166,,,
73_4_8_8_13,2290.15560603142,2.94322609901428,0.001285164244413,-2.89104136580805,,,
74_4_8_8_14,260.673445940018,16.012158870697,0.061426121916467,-1.2116469026105,,,
75_4_8_8_15,2.02071809768677,2.51344108581543,1.24383558928517,0.094762978919892,,,
76_4_8_8_16,1756.11967015266,2437.43472003937,1.38796618560025,0.142378885725389,,,
77_4_8_8_17,32.9058020114899,35.4242029190063,1.07653364311367,0.03202760665399,,,
78_4_8_8_18,9.91812515258789,1.60251808166504,0.16157469854541,-0.791626645680314,,,
79_4_8_8_19,688.687322854996,8.59679388999939,0.012482869372941,-1.90368557414074,,,
80_4_8_8_20,880.465031862259,208.191609144211,0.236456419744311,-0.626248890480521,,,
81_4_8_8_21,13.3755638599396,0.44757604598999,0.033462218914786,-1.47544526389677,,,
82_4_8_8_22,50.9039530754089,0.673595905303955,0.013232683605261,-1.87835207140066,,,
83_4_8_8_23,228.656816959381,7.74043893814087,0.033851774204991,-1.47041856457869,,,
84_4_8_8_24,1606.50594997406,30.9201591014862,0.019246837586867,-1.71564061843595,,,
85_4_8_8_25,6475.8018848896,3519.50383996963,0.543485409611112,-0.264812110474535,,,
86_4_8_8_26,14.8407800197601,11.5596439838409,0.77891080983948,-0.108512268915571,,,
87_4_8_8_27,181.001795053482,170.000550985336,0.939220248810819,-0.027232552966129,,,
88_4_8_8_28,2076.31585383415,131.696488857269,0.063427964783911,-1.19771922360643,,,
89_4_8_8_29,82.9649510383606,1.42880606651306,0.017221803287179,-1.76392137572397,,,
