Experiment config name,Optimal cost,Raw CBAA,Raw ADMM,CBAA,ADMM,Greedy
58_4_8_8_58,,1018.40678463536,1136.93770121453,,,
59_4_8_8_59,,1353.91717355996,1295.74943995614,,,
60_4_8_8_60,,1053.44685051529,903.176994111801,,,
61_4_8_8_61,,1311.35754732164,1056.78748752675,,,
62_4_8_8_62,,937.555846599638,1211.20317768728,,,
63_4_8_8_63,,1087.9585628039,912.810663125013,,,
64_4_8_8_64,,1182.08384732322,1075.27529143028,,,
65_4_8_8_65,,1308.01929090353,1173.49689566567,,,
66_4_8_8_66,,1315.17318546889,1243.1036590921,,,
67_4_8_8_67,,933.061769110577,863.128573866279,,,
68_4_8_8_68,,981.25665569559,924.392661417858,,,
69_4_8_8_69,,1081.13097848002,984.896879992706,,,
