Experiment,Optimal ,Greedy,,,2 Skills,4 Skills,8 Skills
45_4_8_4_15,2794.302,3084.48850430937,1.10384937072277,,,,
46_4_8_4_16,2061.088,1911.19020235061,0.927272490233611,,,,
47_4_8_4_17,2098.763,3136.51436548715,1.49445857654587,,,,
48_4_8_4_18,2174.751,2180.1848343884,1.00249860070803,,,,
49_4_8_4_19,2282.249,2176.67003893078,0.953739070071136,,,,
50_4_8_4_20,1897.836,2083.79590604811,1.09798523478747,,,,
51_4_8_4_21,1732.309,2059.79174552444,1.18904407096219,,,,
52_4_8_4_22,2785.565,2763.54562128626,0.992095184024162,,,,
53_4_8_4_23,1263.939,1150.37942417995,0.910154227522013,,,,
54_4_8_4_24,2307.715,3072.94556735808,1.33159665182142,,,,
55_4_8_4_25,1604.912,1461.15188579806,0.910424924106782,,,,
56_4_8_4_26,1795.684,1836.77665441108,1.02288412349337,,,,
57_4_8_4_27,1575.688,1471.34969474076,0.933782382515295,,,,
58_4_8_4_28,2445.214,2875.94401946687,1.17615227929615,,,,
59_4_8_4_29,1532.049,1648.48534981393,1.07600040848167,,,,
60_4_8_8_0,2586.143,3183.65048844707,1.23104193714233,,,,
61_4_8_8_1,3117.981,2825.79680991808,0.906290580320431,,,,
62_4_8_8_2,2566.645,2716.65938337175,1.05844765574193,,,,
63_4_8_8_3,2615.16,2845.2754166023,1.08799286338209,,,,
64_4_8_8_4,2442.492,2417.40214755426,0.989727764739562,,,,
65_4_8_8_5,2480.27,2870.83458386935,1.15746857554595,,,,
66_4_8_8_6,2919.485,2865.64834295275,0.9815595363404,,,,
67_4_8_8_7,2910.511,2394.17415180156,0.822595809396205,,,,
68_4_8_8_8,2846.934,4417.85144688707,1.55179271696747,,,,
69_4_8_8_9,2731.576,3173.36645682742,1.16173463847516,,,,
70_4_8_8_10,2480.289,2942.58563623448,1.18638821372609,,,,
71_4_8_8_11,2806.486,2918.63115078227,1.03995927675473,,,,
72_4_8_8_12,2935.64,3297.61969058887,1.1233052045172,,,,
73_4_8_8_13,2798.279,3125.56246377488,1.1169588392633,,,,
74_4_8_8_14,1921.162,1757.02777021786,0.914565127885031,,,,
75_4_8_8_15,3292.387,3494.35560325323,1.0613441260864,,,,
76_4_8_8_16,1671.958,1660.05744742832,0.992882265839407,,,,
77_4_8_8_17,3345.866,3529.37305903323,1.05484590806483,,,,
78_4_8_8_18,2205.937,2593.94467809618,1.17589245662781,,,,
79_4_8_8_19,2117.086,2906.15652569714,1.37271538600564,,,,
80_4_8_8_20,2028.436,2461.84594064538,1.21366705217487,,,,
81_4_8_8_21,2151.276,2754.99684806915,1.280633841529,,,,
82_4_8_8_22,2686.916,2663.90987978236,0.991437722572035,,,,
83_4_8_8_23,2500.12,2587.86553227507,1.03509652827667,,,,
84_4_8_8_24,2152.742,2461.45402601065,1.14340409859177,,,,
85_4_8_8_25,3181.53,3258.77021829042,1.0242776960426,,,,
86_4_8_8_26,1831.046,1869.53158723608,1.02101836176485,,,,
87_4_8_8_27,2916.862,4173.22162783346,1.43072302626366,,,,
88_4_8_8_28,3305,3564.36560540381,1.07847673385894,,,,
89_4_8_8_29,2536.126,2812.13367701528,1.10883042759519,,,,
,436510.450258661,460215.822323535,1.05430653962769,,,,
,424171.754802465,426053.907763607,1.00443724255524,,,,
,534342.51066898,431951.180584565,0.80837884308283,,,,
,479457.982044231,437219.660357579,0.911904018144482,,,,
,459578.166070913,444018.337973051,0.9661432390688,,,,
